Geography,Year,Sex,Incidence Rate (Age-standardized),Incident Cases (Across all ages),Population At-Risk (Across All Ages),Standard Error,Standard Score,Alberta Rate
Z2,2012,FEMALE,19.419,109.0,717342.75215,1.87,0.79,17.935
Z2,2012,MALE,30.431,141.0,731549.77486,2.65,-0.57,31.937
Z2,2013,BOTH,22.388,238.0,1496969.7896,1.47,-0.42,23.005
Z2,2013,FEMALE,15.195,89.0,741182.236,1.62,-0.93,16.695
Z2,2013,MALE,31.705,149.0,755787.55362,2.68,0.28,30.956
Z2,2014,BOTH,21.384,238.0,1542772.5241,1.4,-1.71,23.783
Z2,2014,FEMALE,15.56,93.0,763703.19164,1.62,-0.97,17.13
Z2,2014,MALE,28.88,145.0,779069.33249,2.48,-1.38,32.318
Z2,2015,BOTH,24.155,274.0,1571431.2151,1.47,-0.42,24.775
Z2,2015,FEMALE,16.869,104.0,779021.24271,1.66,-0.63,17.915
Z2,2015,MALE,33.586,170.0,792409.97236,2.64,0.09,33.338
Z2,2016,BOTH,30.616,363.0,1597637.577,1.62,0.61,29.627
Z2,2016,FEMALE,25.285,163.0,794373.21559,1.99,2.07,21.156
Z2,2016,MALE,37.369,200.0,803264.36137,2.71,-1.14,40.467
Z2,2017,BOTH,28.588,355.0,1619497.1638,1.53,-0.53,29.394
Z2,2017,FEMALE,20.482,139.0,806596.55049,1.75,-0.54,21.429
Z2,2017,MALE,38.826,216.0,812900.61332,2.7,-0.28,39.596
Z2,2018,BOTH,32.216,415.0,1646055.0942,1.6,2.12,28.824
Z2,2018,FEMALE,23.288,164.0,820562.85352,1.83,1.56,20.429
Z2,2018,MALE,43.531,251.0,825492.24066,2.82,1.6,39.03
Z2,2019,BOTH,32.104,440.0,1678710.607,1.55,1.89,29.181
Z2,2019,FEMALE,24.209,179.0,837593.13928,1.82,1.25,21.923
Z2,2019,MALE,42.36,261.0,841117.46772,2.7,1.56,38.16
Z2,2020,BOTH,28.923,421.0,1707887.5741,1.43,1.52,26.747
Z2,2020,FEMALE,18.108,144.0,852521.00232,1.52,0.37,17.548
Z2,2020,MALE,42.182,277.0,855366.57173,2.61,1.63,37.939
Z3,2004,BOTH,23.049,80.0,406958.38971,2.59,-0.42,24.141
Z3,2004,FEMALE,17.728,34.0,201262.10934,3.07,0.12,17.354
Z3,2004,MALE,29.845,46.0,205696.28037,4.45,-0.89,33.816
Z3,2005,BOTH,25.529,91.0,415742.20476,2.69,0.22,24.936
Z3,2005,FEMALE,18.178,36.0,205251.22715,3.06,0.43,16.865
Z3,2005,MALE,33.178,55.0,210490.97761,4.51,-0.54,35.595
Z3,2006,BOTH,26.508,96.0,425398.4384,2.71,0.85,24.209
Z3,2006,FEMALE,18.345,36.0,209466.31092,3.08,-0.2,18.961
Z3,2006,MALE,37.274,60.0,215932.12748,4.86,1.18,31.565
Z3,2007,BOTH,26.981,100.0,435118.30259,2.7,0.87,24.627
Z3,2007,FEMALE,20.703,42.0,214213.36058,3.22,0.75,18.289
Z3,2007,MALE,34.758,58.0,220904.94201,4.61,0.36,33.082
Z3,2008,BOTH,25.041,95.0,442274.21602,2.57,1.09,22.229
Z3,2008,FEMALE,17.655,37.0,217946.52918,2.93,0.63,15.812
Z3,2008,MALE,33.606,58.0,224327.68684,4.45,0.68,30.599
Z3,2009,BOTH,20.425,78.0,446376.72497,2.32,-2.06,25.195
Z3,2009,FEMALE,15.735,32.0,220116.38382,2.8,-1.11,18.837
Z3,2009,MALE,25.783,46.0,226260.34115,3.82,-2.05,33.61
Z3,2010,BOTH,27.841,109.0,448106.72071,2.67,0.98,25.232
Z3,2010,FEMALE,15.654,33.0,221287.59693,2.74,-0.65,17.428
Z3,2010,MALE,42.345,76.0,226819.12377,4.89,1.44,35.286
Z3,2011,BOTH,24.501,98.0,450834.59073,2.48,-0.4,25.488
Z3,2011,FEMALE,17.18,38.0,222897.71968,2.81,-0.5,18.587
Z3,2011,MALE,32.1,60.0,227936.87105,4.16,-0.49,34.139
Z3,2012,BOTH,25.403,104.0,456342.31106,2.49,0.5,24.154
Z3,2012,FEMALE,20.203,44.0,225650.37876,3.06,0.74,17.935
Z3,2012,MALE,31.731,60.0,230691.9323,4.12,-0.05,31.937
Z3,2013,BOTH,24.417,103.0,462870.58962,2.41,0.59,23.005
Z3,2013,FEMALE,15.927,36.0,228547.27869,2.67,-0.29,16.695
Z3,2013,MALE,35.052,67.0,234323.31093,4.32,0.95,30.956
Z3,2014,BOTH,24.957,108.0,468112.90749,2.4,0.49,23.783
Z3,2014,FEMALE,19.634,46.0,231211.314,2.91,0.86,17.13
Z3,2014,MALE,30.978,62.0,236901.59348,3.96,-0.34,32.318
Z3,2015,BOTH,24.667,109.0,470818.02235,2.37,-0.05,24.775
Z3,2015,FEMALE,17.502,42.0,232926.71859,2.72,-0.15,17.915
Z3,2015,MALE,32.283,67.0,237891.30376,3.97,-0.27,33.338
Z3,2016,BOTH,26.169,119.0,471519.53368,2.4,-1.44,29.627
Z3,2016,FEMALE,15.563,38.0,234137.27907,2.54,-2.21,21.156
Z3,2016,MALE,38.751,81.0,237382.25461,4.33,-0.4,40.467
Z3,2017,BOTH,26.678,125.0,472167.06865,2.39,-1.13,29.394
Z3,2017,FEMALE,20.567,52.0,234864.04124,2.87,-0.3,21.429
Z3,2017,MALE,33.687,73.0,237303.02741,3.97,-1.49,39.596
Z3,2018,BOTH,25.325,123.0,473188.93056,2.29,-1.53,28.824
Z3,2018,FEMALE,15.892,41.0,235212.9563,2.5,-1.82,20.429
Z3,2018,MALE,35.771,82.0,237975.97426,3.98,-0.82,39.03
Z3,2019,BOTH,30.485,153.0,473810.38153,2.48,0.53,29.181
Z3,2019,FEMALE,25.162,67.0,235807.43677,3.1,1.04,21.923
Z3,2019,MALE,36.92,86.0,238002.94476,4.02,-0.31,38.16
Z3,2020,BOTH,19.635,100.0,475788.22554,1.98,-3.59,26.747
Z3,2020,FEMALE,11.556,31.0,236853.71763,2.1,-2.85,17.548
Z3,2020,MALE,28.77,69.0,238934.50791,3.5,-2.62,37.939
Z4,2004,BOTH,21.775,158.0,1010020.9659,1.75,-1.35,24.141
Z4,2004,FEMALE,16.519,69.0,502643.30601,2.0,-0.42,17.354
Z4,2004,MALE,30.612,89.0,507377.6599,3.44,-0.93,33.816
Z4,2005,BOTH,24.731,190.0,1034031.8986,1.81,-0.11,24.936
Z4,2005,FEMALE,16.488,69.0,514364.19442,2.0,-0.19,16.865
Z4,2005,MALE,36.848,121.0,519667.70419,3.49,0.36,35.595
Z4,2006,BOTH,25.626,200.0,1064448.9539,1.82,0.78,24.209
Z4,2006,FEMALE,19.892,87.0,528179.54334,2.15,0.43,18.961
Z4,2006,MALE,34.074,113.0,536269.41053,3.3,0.76,31.565
Z4,2007,BOTH,23.018,187.0,1096547.0038,1.69,-0.95,24.627
Z4,2007,FEMALE,18.896,87.0,542389.6804,2.04,0.3,18.289
Z4,2007,MALE,29.618,100.0,554157.32336,3.06,-1.13,33.082
Z4,2008,BOTH,21.943,184.0,1121612.426,1.62,-0.18,22.229
Z4,2008,FEMALE,16.341,77.0,554047.66522,1.87,0.28,15.812
Z4,2008,MALE,28.883,107.0,567564.76082,2.86,-0.6,30.599
Z4,2009,BOTH,25.615,221.0,1151256.1862,1.73,0.24,25.195
Z4,2009,FEMALE,18.715,92.0,568374.14652,1.96,-0.06,18.837
Z4,2009,MALE,35.688,129.0,582882.0397,3.23,0.64,33.61
Z4,2010,BOTH,24.325,216.0,1169028.9807,1.66,-0.55,25.232
Z4,2010,FEMALE,17.869,89.0,578172.8891,1.9,0.23,17.428
Z4,2010,MALE,33.339,127.0,590856.09157,3.01,-0.65,35.286
Z4,2011,BOTH,27.069,249.0,1186896.9055,1.72,0.92,25.488
Z4,2011,FEMALE,20.346,105.0,588370.08434,1.99,0.88,18.587
Z4,2011,MALE,36.459,144.0,598526.82116,3.09,0.75,34.139
Z4,2012,BOTH,24.142,228.0,1216046.3895,1.6,-0.01,24.154
Z4,2012,FEMALE,18.697,98.0,602670.01453,1.9,0.4,17.935
Z4,2012,MALE,31.214,130.0,613376.375,2.77,-0.26,31.937
Z4,2013,BOTH,22.555,223.0,1254157.5364,1.52,-0.3,23.005
Z4,2013,FEMALE,16.724,92.0,620143.80562,1.75,0.02,16.695
Z4,2013,MALE,29.771,131.0,634013.73076,2.65,-0.45,30.956
Z4,2014,BOTH,27.057,276.0,1293816.329,1.64,2.0,23.783
Z4,2014,FEMALE,19.609,109.0,639022.54573,1.88,1.32,17.13
Z4,2014,MALE,37.749,167.0,654793.78328,2.98,1.83,32.318
